"transaction_id","date","client_id","commune","produit","montant_fc","canal"
"T001","2026-05-01","C001","Gombe","Data 5GB","10000","Mobile Money"
"T002","2026-05-01","C002","Limete","Voice","3000","USSD"
"T003","2026-05-01","C003","Matete","Data 5GB","10000","Agent"
"T004","2026-05-02","C001","Gombe","SMS","1000","Mobile Money"
"T005","2026-05-02","C004","Ndjili","Data 10GB","18000","Agent"
"T006","2026-05-02","C005","Limete","Voice","3000","USSD"
"T007","2026-05-03","C006","Masina","Data 5GB","10000","Agent"
"T008","2026-05-03","C002","Limete","Voice","3000","USSD"
"T009","2026-05-03","C007","Gombe","Data 10GB","18000","Mobile Money"
"T010","2026-05-03","C008","Matete","SMS","1000","Agent"
